Timestamps are UTC timezone,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USDT
2019-08-19 07-AM,BTCUSDT,10460,10735.99,10448.57,10722.1,6242.02,66259705.96
2019-08-19 06-AM,BTCUSDT,10366.39,10467.9,10350.01,10460,1152.76,12009445.84
2019-08-19 05-AM,BTCUSDT,10367.4,10399,10350,10366.39,737.23,7642916.83
2019-08-19 04-AM,BTCUSDT,10398.23,10421,10356.74,10367.4,577.84,5998920.82
2019-08-19 03-AM,BTCUSDT,10399.3,10419.98,10351,10398.23,693.08,7198876.75
2019-08-19 02-AM,BTCUSDT,10337.19,10439.99,10334.98,10399.3,1048.18,10898500.04
2019-08-19 01-AM,BTCUSDT,10325.45,10368.08,10280.01,10337.19,645.04,6664516.8
2019-08-19 12-AM,BTCUSDT,10306.78,10328.11,10258.6,10325.45,819.59,8432992.33
2019-08-18 11-PM,BTCUSDT,10345.91,10360,10285.11,10306.78,575.09,5933721.41
2019-08-18 10-PM,BTCUSDT,10412.94,10435,10305,10345.91,1168.85,12108533.8
2019-08-18 09-PM,BTCUSDT,10356.86,10417.28,10343,10412.94,515.16,5343290.65
2019-08-18 08-PM,BTCUSDT,10371,10387.73,10307.92,10356.86,724.4,7501277.93
2019-08-18 07-PM,BTCUSDT,10379.1,10415.25,10335,10371,1384.73,14359438.8
2019-08-18 06-PM,BTCUSDT,10378.49,10400,10359.45,10379.1,887.8,9208994.9
2019-08-18 05-PM,BTCUSDT,10414.4,10438.98,10335,10378.49,839.72,8726448.78
2019-08-18 04-PM,BTCUSDT,10386.42,10467.47,10386.41,10414.4,1033.69,10787654.49
2019-08-18 03-PM,BTCUSDT,10374.9,10434.09,10370.87,10386.42,1362.57,14177404.3
2019-08-18 02-PM,BTCUSDT,10429.84,10500,10368.88,10374.9,1536.84,16046319.11
2019-08-18 01-PM,BTCUSDT,10375.15,10498,10370.8,10429.84,1466.31,15283696.74
2019-08-18 12-PM,BTCUSDT,10394,10438,10354.14,10375.15,1021.01,10608099.91
2019-08-18 11-AM,BTCUSDT,10357.95,10439.93,10326.57,10394,1253.38,13005955.93
2019-08-18 10-AM,BTCUSDT,10194.55,10410,10170.33,10357.95,2462.16,25404206.38
2019-08-18 09-AM,BTCUSDT,10111.55,10220,10106.41,10194.55,1438.34,14647111.93
2019-08-18 08-AM,BTCUSDT,10139.41,10160,10095.25,10111.55,627.8,6356094.97
2019-08-18 07-AM,BTCUSDT,10166.87,10176.96,10115.97,10139.41,429.34,4353430.59
2019-08-18 06-AM,BTCUSDT,10140.02,10201.14,10140.02,10166.87,588.32,5983041.58
2019-08-18 05-AM,BTCUSDT,10132.54,10155,10105.01,10140.02,409.13,4144009.0
2019-08-18 04-AM,BTCUSDT,10113.99,10142.3,10080,10132.54,768.62,7765182.89
2019-08-18 03-AM,BTCUSDT,10168.76,10178.66,10102.56,10113.99,732.25,7418977.42
2019-08-18 02-AM,BTCUSDT,10183.59,10207.42,10151.42,10168.76,469.52,4779065.59
2019-08-18 01-AM,BTCUSDT,10227.21,10240.46,10151.42,10183.59,538.26,5485919.97
2019-08-18 12-AM,BTCUSDT,10216.02,10278.88,10207.24,10227.21,514.08,5264732.94
2019-08-17 11-PM,BTCUSDT,10236.13,10250,10178.57,10216.02,751.7,7675459.61
2019-08-17 10-PM,BTCUSDT,10144.29,10239.71,10120.03,10236.13,732.52,7461657.75
2019-08-17 09-PM,BTCUSDT,10080.91,10178.99,10074.92,10144.29,699.95,7091983.18
2019-08-17 08-PM,BTCUSDT,10167.24,10183.61,10049,10080.91,985.09,9961934.56
2019-08-17 07-PM,BTCUSDT,10177.44,10209.31,10160,10167.24,701.61,7142615.85
2019-08-17 06-PM,BTCUSDT,10079.43,10239,10000,10177.44,2226.99,22514407.6
2019-08-17 05-PM,BTCUSDT,10280,10313.01,10010.58,10079.43,3541.07,35970157.49
2019-08-17 04-PM,BTCUSDT,10312.27,10357,10275,10280,1144.21,11809278.24
2019-08-17 03-PM,BTCUSDT,10310.44,10345.26,10252.36,10312.27,994.6,10254943.65
2019-08-17 02-PM,BTCUSDT,10358.02,10358.05,10305.85,10310.44,1240.69,12820546.51
2019-08-17 01-PM,BTCUSDT,10331.97,10363.22,10285.36,10358.02,942.93,9724977.38
2019-08-17 12-PM,BTCUSDT,10333.23,10371,10260.7,10331.97,1052.84,10873190.35
2019-08-17 11-AM,BTCUSDT,10380.34,10387.29,10317,10333.23,1016.77,10523685.45
2019-08-17 10-AM,BTCUSDT,10438.28,10448.09,10365,10380.34,956.36,9947968.25
2019-08-17 09-AM,BTCUSDT,10390.31,10450,10355.55,10438.28,1002.0,10434362.75
2019-08-17 08-AM,BTCUSDT,10357.99,10465.14,10314.21,10390.31,1535.27,15956701.35
2019-08-17 07-AM,BTCUSDT,10332.3,10376.53,10320,10357.99,602.06,6231407.46
2019-08-17 06-AM,BTCUSDT,10377.32,10398.99,10322.15,10332.3,837.11,8673541.2
2019-08-17 05-AM,BTCUSDT,10346.06,10391.44,10290,10377.32,602.91,6233236.55
2019-08-17 04-AM,BTCUSDT,10284.87,10355,10252.88,10346.06,1023.3,10547097.18
2019-08-17 03-AM,BTCUSDT,10335.44,10376.92,10280.05,10284.87,1071.62,11065500.61
2019-08-17 02-AM,BTCUSDT,10381.59,10421.92,10306,10335.44,727.93,7540672.62
2019-08-17 01-AM,BTCUSDT,10234.05,10383.29,10212.94,10381.59,926.18,9549313.12
2019-08-17 12-AM,BTCUSDT,10331.54,10359.99,10201,10234.05,1518.26,15585399.34
2019-08-16 11-PM,BTCUSDT,10389.91,10434,10277,10331.54,1030.76,10680108.13
2019-08-16 10-PM,BTCUSDT,10428,10476.7,10222,10389.91,2033.53,21041785.87
2019-08-16 09-PM,BTCUSDT,10377.09,10432,10371.05,10428,576.68,6003569.56
2019-08-16 08-PM,BTCUSDT,10451.75,10515,10351.12,10377.09,1563.53,16307120.05
2019-08-16 07-PM,BTCUSDT,10409.05,10490.26,10402,10451.75,835.68,8731247.52
2019-08-16 06-PM,BTCUSDT,10396.21,10469.84,10390,10409.05,1183.64,12341110.44
2019-08-16 05-PM,BTCUSDT,10405,10536.03,10375,10396.21,3364.34,35257284.16
2019-08-16 04-PM,BTCUSDT,10386.04,10438.01,10306,10405,2093.14,21702431.22
2019-08-16 03-PM,BTCUSDT,10089.99,10469,10055.12,10386.04,4844.89,50005533.0
2019-08-16 02-PM,BTCUSDT,10113.89,10155.8,10037.97,10089.99,1000.03,10108033.64
2019-08-16 01-PM,BTCUSDT,10200.17,10205.8,10055,10113.89,1319.69,13359101.54
2019-08-16 12-PM,BTCUSDT,10148.92,10211.41,10117.97,10200.17,2468.73,25092743.26
2019-08-16 11-AM,BTCUSDT,10089.92,10225,9810,10148.92,3887.32,38957617.86
2019-08-16 10-AM,BTCUSDT,10094.95,10130,10033.51,10089.92,880.28,8869025.67
2019-08-16 09-AM,BTCUSDT,10073.51,10149,10032.67,10094.95,1265.04,12767314.45
2019-08-16 08-AM,BTCUSDT,9937,10108.01,9872.01,10073.51,1943.58,19408786.53
2019-08-16 07-AM,BTCUSDT,9971.79,10025,9854.52,9937,1494.72,14844535.37
2019-08-16 06-AM,BTCUSDT,9908.92,10050,9860.73,9971.79,2430.95,24138949.81
2019-08-16 05-AM,BTCUSDT,10091.88,10149.1,9750,9908.92,6608.89,65631908.61
2019-08-16 04-AM,BTCUSDT,10324.61,10342.2,10064.81,10091.88,2547.18,25959893.44
2019-08-16 03-AM,BTCUSDT,10350.39,10359.11,10271,10324.61,962.14,9925125.14
2019-08-16 02-AM,BTCUSDT,10353.4,10417,10327.62,10350.39,1059.05,10996461.3
2019-08-16 01-AM,BTCUSDT,10302.36,10398.54,10302.36,10353.4,870.09,9020130.72
2019-08-16 12-AM,BTCUSDT,10293.93,10368.29,10250,10302.36,1207.36,12458225.08
2019-08-15 11-PM,BTCUSDT,10395.92,10460,10240.09,10293.93,2009.57,20759442.72
2019-08-15 10-PM,BTCUSDT,10338.27,10458.18,10322,10395.92,1950.54,20284911.61
2019-08-15 09-PM,BTCUSDT,10370,10414.72,10290,10338.27,2611.93,27053208.1
2019-08-15 08-PM,BTCUSDT,10106.68,10393.29,10090.57,10370,4331.41,44535900.18
2019-08-15 07-PM,BTCUSDT,10041.57,10145.09,10024.76,10106.68,1134.1,11451426.79
2019-08-15 06-PM,BTCUSDT,10023.75,10085.19,10015.68,10041.57,965.57,9710149.86
2019-08-15 05-PM,BTCUSDT,10051.97,10066,9980,10023.75,1322.24,13248870.1
2019-08-15 04-PM,BTCUSDT,10094.59,10165,9999.1,10051.97,2417.85,24362801.65
2019-08-15 03-PM,BTCUSDT,10010.33,10108,9972,10094.59,1715.6,17261565.0
2019-08-15 02-PM,BTCUSDT,10015.53,10100,9958.37,10010.33,1581.51,15853737.77
2019-08-15 01-PM,BTCUSDT,9997.09,10050.34,9911,10015.53,1941.87,19394216.9
2019-08-15 12-PM,BTCUSDT,10158.55,10180,9920,9997.09,2637.11,26466240.89
2019-08-15 11-AM,BTCUSDT,10059.74,10219.7,10053.29,10158.55,2017.35,20460369.44
2019-08-15 10-AM,BTCUSDT,10095.05,10169.65,9945.86,10059.74,3592.9,36245517.29
2019-08-15 09-AM,BTCUSDT,10095.05,10095.05,10095.05,10095.05,0.0,0.0
2019-08-15 08-AM,BTCUSDT,10095.05,10095.05,10095.05,10095.05,0.0,0.0
2019-08-15 07-AM,BTCUSDT,10095.05,10095.05,10095.05,10095.05,0.0,0.0
2019-08-15 06-AM,BTCUSDT,10095.05,10095.05,10095.05,10095.05,0.0,0.0
2019-08-15 05-AM,BTCUSDT,10095.05,10095.05,10095.05,10095.05,0.0,0.0
2019-08-15 04-AM,BTCUSDT,10095.05,10095.05,10095.05,10095.05,0.0,0.0
2019-08-15 03-AM,BTCUSDT,10095.05,10095.05,10095.05,10095.05,0.0,0.0
2019-08-15 02-AM,BTCUSDT,10095.05,10095.05,10095.05,10095.05,0.0,0.0
2019-08-15 01-AM,BTCUSDT,10133.79,10135.8,10030.52,10095.05,1722.53,17371774.58
2019-08-15 12-AM,BTCUSDT,10050.37,10234.08,10050.37,10133.79,2773.02,28128596.37
2019-08-14 11-PM,BTCUSDT,10240.07,10253.66,9928.1,10050.37,4358.91,43813743.42
2019-08-14 10-PM,BTCUSDT,10211.53,10268,10191.05,10240.07,922.86,9442604.0
2019-08-14 09-PM,BTCUSDT,10190.26,10283.94,10169.25,10211.53,999.54,10215327.04
2019-08-14 08-PM,BTCUSDT,10137.77,10218.18,10103,10190.26,1220.28,12409943.8
2019-08-14 07-PM,BTCUSDT,10174.16,10235,10127.01,10137.77,1226.92,12503845.47
2019-08-14 06-PM,BTCUSDT,10239.28,10274.96,10150,10174.16,2034.97,20778869.1
2019-08-14 05-PM,BTCUSDT,10347.13,10362.06,10100,10239.28,7580.38,77276528.13
2019-08-14 04-PM,BTCUSDT,10514.08,10629,10339.57,10347.13,4079.08,42595118.04
2019-08-14 03-PM,BTCUSDT,10517.77,10594.78,10471,10514.08,1558.12,16398199.58
2019-08-14 02-PM,BTCUSDT,10593.62,10597.54,10462,10517.77,2025.28,21308153.94
2019-08-14 01-PM,BTCUSDT,10633.17,10667.48,10571.61,10593.62,1125.78,11959928.13
2019-08-14 12-PM,BTCUSDT,10556.7,10697,10552.4,10633.17,1952.13,20751775.49
2019-08-14 11-AM,BTCUSDT,10534.12,10577.08,10469.39,10556.7,1291.17,13581600.28
2019-08-14 10-AM,BTCUSDT,10517.63,10600.04,10517.63,10534.12,1681.34,17746030.56
2019-08-14 09-AM,BTCUSDT,10477.88,10536.01,10410,10517.63,2297.01,24073687.81
2019-08-14 08-AM,BTCUSDT,10620,10632.74,10430.87,10477.88,2605.72,27430292.9
2019-08-14 07-AM,BTCUSDT,10627.49,10660.6,10588,10620,982.32,10436505.13
2019-08-14 06-AM,BTCUSDT,10621.98,10670.79,10615.98,10627.49,1168.68,12437078.77
2019-08-14 05-AM,BTCUSDT,10569.26,10637.45,10546.15,10621.98,951.74,10083659.85
2019-08-14 04-AM,BTCUSDT,10656.83,10660.18,10568.3,10569.26,1022.2,10850934.53
2019-08-14 03-AM,BTCUSDT,10690.15,10694.95,10613.26,10656.83,1060.86,11299450.73
2019-08-14 02-AM,BTCUSDT,10617.91,10712.45,10541,10690.15,2355.47,25024537.97
2019-08-14 01-AM,BTCUSDT,10765.02,10813.23,10579,10617.91,3757.58,40124759.81
2019-08-14 12-AM,BTCUSDT,10892.71,10897.48,10750,10765.02,1666.31,18042321.9
2019-08-13 11-PM,BTCUSDT,10897.12,10942.67,10880.01,10892.71,579.5,6322216.18
2019-08-13 10-PM,BTCUSDT,10892.47,10938.99,10863.64,10897.12,561.43,6120312.86
2019-08-13 09-PM,BTCUSDT,10914.24,10924.67,10858.04,10892.47,850.09,9255061.4
2019-08-13 08-PM,BTCUSDT,10936.18,10981.69,10913.74,10914.24,682.56,7475780.27
2019-08-13 07-PM,BTCUSDT,10925.37,10962,10905.2,10936.18,617.53,6752012.58
